CanID,Description,Bit,Variable,Function,Options,History,,,,,,,,,,,,,,,,,,,
8,Direct Commands,0,CAN Item,This is a direct control command to simplify on / off controls compared to ID11 below,"The item to set
2=Battery Select
3=Pump
4=Power
5=Lights
6=Awning
7=MH Tank Fill
8=Entry Light
9=Dimmer 1 on/off
10=Dimmer 2 on/off
11= (not used)
12=CV Tank Fill
50=Dimmer 1 Level (0-100)
51=Dimmer 2 Level (0-100)
108=set heater boost from remote app (original)
109=set heater boost from EC control panel (new)
110=change heater override times
Above 3 items only in PSU V45 and above",,,,,,,,,,,,,,,,,,,,
8,Direct Commands,1,CAN Value,,The value to be set,,,,,,,,,,,,,,,,,,,,
8,Direct Commands,2,CAN Mode,,"Mode 0 = set the value to the value supplied, Mode 1 = toggle the current value",,,,,,,,,,,,,,,,,,,,
8,Direct Commands,3,0,,Not used,,,,,,,,,,,,,,,,,,,,
8,Direct Commands,4,0,,Not used,,,,,,,,,,,,,,,,,,,,
8,Direct Commands,5,Override Heat,,"Used with CAN Items 108, 109 and 110 (V45+)",,,,,,,,,,,,,,,,,,,,
8,Direct Commands,6,Override Water,,"Used with CAN Items 108, 109 and 110 (V45+)",,,,,,,,,,,,,,,,,,,,
8,Direct Commands,7,Override Time,,"Used with CAN Items 108, 109 and 110 (V45+)",,,,,,,,,,,,,,,,,,,,
11,Commands or data to PSU,0,Switch,CP switch presses / commands,"0=Levels, 1=<spare>, 2=Battery Select, 3=Pump, 4=Power, 5=Lights, 6=Awning, 7=Tank Fill/Heaters, 8=Entry Light, Light, 9=Dimmer 1, 10=Dimmer 2, 11=Dimmers 1&2, 12=MH Tank Fill, 13=MH Fresh Dump, 14=MH Waste Dump, 15=Tank heaters 2
16=button pressed on control panel for logging
100 = BT Pairing on/off, 101 = Save settings in E2
102 = Reset Settings, 103 = Calibrate Ammeter
104 = Bluetooth delete, 105 = Alde 3020 set time, 106 = Send heater times, 107 = Send bulk data
108 = Turn heating override1 on / off (original), 
109 = turn heating override2 on/off (new), 
110 = update override temperatures. 
111 = request radio station data. 
112 = Turn levelling on / off at Comms box
113 = Calibrate levelling when 113 received
114 = 
115 = Calibrate CAN Bus Fresh level sensor
116 = Calibrate CAN Bus Waste level sensor",,,,,,,,,,,,,,,,,,,,
11,Commands or data to PSU,1,CPSerial,CP Software Number,i.e 10 (0-99) From CP to PSU,,,,,,,,,,,,,,,,,,,,
11,Commands or data to PSU,2,Dim1,Dimmer channel 1,Set Target % (5 – 100),,,,,,,,,,,,,,,,,,,,
11,Commands or data to PSU,3,Dim2,Dimmer channel 2,Set Target % (5 – 100),,,,,,,,,,,,,,,,,,,,
