#,Timestamp,ID (hex),DLC,Data (hex),Type
1,16:25:04.963,0x05B,8,7F 00 00 00 15 01 00 00,STD
2,16:25:04.977,0x083,8,00 00 95 0B 93 0B 38 04,STD
3,16:25:05.009,0x084,8,84 85 01 01 00 05 2A 01,STD
4,16:25:05.024,0x032,8,00 00 01 00 00 00 00 01,STD
5,16:25:05.056,0x085,8,00 00 03 00 00 00 01 00,STD
6,16:25:05.071,0x086,8,02 5C 02 1E 00 01 01 01,STD
7,16:25:05.103,0x087,8,00 04 01 64 01 01 00 03,STD
8,16:25:05.118,0x088,8,04 1E 28 42 58 00 00 00,STD
9,16:25:05.149,0x089,8,04 04 04 04 04 00 00 00,STD
10,16:25:05.181,0x08A,8,04 00 00 00 00 00 00 00,STD
11,16:25:05.196,0x033,8,00 00 64 64 00 00 00 00,STD
12,16:25:05.228,0x08C,8,00 00 00 00 00 00 00 00,STD
13,16:25:05.243,0x08D,8,01 00 02 00 00 00 01 15,STD
14,16:25:05.275,0x08E,8,00 02 00 00 14 14 00 00,STD
15,16:25:05.291,0x08F,8,0E 00 03 01 00 00 00 00,STD
16,16:25:05.323,0x091,8,01 03 00 00 00 00 02 00,STD
17,16:25:05.354,0x092,8,00 01 01 01 03 02 02 03,STD
18,16:25:05.370,0x032,8,00 00 01 00 00 00 00 01,STD
19,16:25:05.401,0x093,8,01 01 1B 0C 00 38 01 01,STD
20,16:25:05.463,0x036,8,00 00 00 00 00 00 00 00,STD
21,16:25:05.542,0x033,8,00 00 64 64 00 00 00 00,STD
22,16:25:05.573,0x027,8,F0 00 00 00 00 00 00 00,STD
23,16:25:05.855,0x02B,8,F1 00 00 00 00 00 00 00,STD
24,16:25:05.918,0x032,8,00 00 01 00 00 00 00 01,STD
25,16:25:05.949,0x034,8,15 01 00 00 00 00 00 00,STD
26,16:25:05.965,0x035,8,01 00 38 00 00 00 1F 04,STD
27,16:25:05.996,0x05A,8,00 00 00 01 00 00 00 00,STD
28,16:25:06.012,0x05B,8,7F 00 00 00 15 01 00 00,STD
29,16:25:06.044,0x083,8,00 00 95 0B 93 0B 38 04,STD
30,16:25:06.060,0x084,8,84 85 01 01 00 06 2A 01,STD
31,16:25:06.092,0x033,8,00 00 64 64 00 00 00 00,STD
32,16:25:06.123,0x085,8,00 00 03 00 00 00 01 00,STD
33,16:25:06.139,0x086,8,02 5C 02 1E 00 01 01 01,STD
34,16:25:06.171,0x087,8,00 04 01 64 01 01 00 03,STD
35,16:25:06.392,0x088,8,05 1E 28 42 58 00 00 00,STD
36,16:25:06.408,0x089,8,05 04 04 04 04 00 00 00,STD
37,16:25:06.439,0x08A,8,05 00 00 00 00 00 00 00,STD
38,16:25:06.455,0x032,8,00 00 01 00 00 00 00 01,STD
39,16:25:06.486,0x08C,8,00 00 00 00 00 00 00 00,STD
40,16:25:06.517,0x08D,8,01 00 02 00 00 00 01 15,STD
41,16:25:06.533,0x08E,8,00 02 00 00 14 14 00 00,STD
42,16:25:06.564,0x08F,8,0E 00 03 01 00 00 00 00,STD
43,16:25:06.580,0x091,8,01 03 00 00 00 00 02 00,STD
44,16:25:06.611,0x092,8,00 01 01 01 03 02 02 03,STD
45,16:25:06.627,0x033,8,00 00 64 64 00 00 00 00,STD
46,16:25:06.658,0x093,8,01 01 1B 0C 00 38 01 01,STD
47,16:25:09.397,0x086,8,02 5C 02 1E 00 01 01 01,STD
48,16:25:09.397,0x087,8,00 04 01 64 01 01 09 03,STD
49,16:25:09.397,0x085,8,00 00 03 00 00 00 01 00,STD
50,16:25:09.413,0x088,8,00 1E 28 42 58 00 00 00,STD
51,16:25:09.413,0x089,8,00 12 12 12 15 00 00 00,STD
52,16:25:09.413,0x08A,8,00 01 02 02 01 00 00 00,STD
53,16:25:09.428,0x034,8,00 00 00 00 00 00 00 00,STD
54,16:25:09.428,0x035,8,01 00 38 00 00 00 1F 00,STD
55,16:25:09.460,0x05A,8,00 00 00 00 00 00 00 00,STD
56,16:25:09.476,0x05B,8,7F 00 00 00 04 00 00 00,STD
57,16:25:09.507,0x083,8,00 00 95 0B 93 0B 38 04,STD
58,16:25:09.523,0x084,8,88 88 00 01 00 00 2B 00,STD
59,16:25:09.554,0x032,8,00 00 00 00 00 00 00 00,STD
60,16:25:09.585,0x085,8,00 00 03 00 00 00 01 00,STD
61,16:25:09.601,0x086,8,02 5C 02 1E 00 01 01 01,STD
62,16:25:09.632,0x087,8,00 04 01 64 01 01 09 03,STD
63,16:25:09.648,0x088,8,00 1E 28 42 58 00 00 00,STD
64,16:25:09.679,0x089,8,00 12 12 12 15 00 00 00,STD
65,16:25:09.695,0x08A,8,00 01 02 02 01 00 00 00,STD
66,16:25:09.930,0x033,8,00 00 64 64 00 00 00 00,STD
67,16:25:09.961,0x08C,8,00 00 00 00 00 00 00 00,STD
68,16:25:09.977,0x08D,8,01 00 02 00 00 00 00 04,STD
69,16:25:10.008,0x08E,8,00 02 00 00 14 14 00 00,STD
70,16:25:10.024,0x08F,8,0D 00 03 01 00 00 00 00,STD
71,16:25:10.055,0x091,8,01 03 00 00 00 00 02 00,STD
72,16:25:10.071,0x092,8,00 01 01 01 03 02 02 03,STD
73,16:25:10.102,0x032,8,00 00 00 00 00 00 00 00,STD
74,16:25:10.134,0x093,8,01 01 39 0D 00 06 03 01,STD
75,16:25:10.197,0x036,8,00 00 00 00 00 00 00 00,STD
76,16:25:10.478,0x033,8,00 00 64 64 00 00 00 00,STD
77,16:25:10.494,0x027,8,F0 00 00 00 00 00 00 00,STD
78,16:25:10.572,0x02B,8,F0 00 00 00 00 00 00 00,STD
79,16:25:10.651,0x032,8,00 00 00 00 00 00 00 00,STD
80,16:25:10.667,0x034,8,04 00 00 00 00 00 00 00,STD
81,16:25:10.698,0x035,8,01 00 38 00 00 00 1F 00,STD
82,16:25:10.714,0x05A,8,00 00 00 00 00 00 00 00,STD
83,16:25:10.745,0x05B,8,7F 00 00 00 04 00 00 00,STD
84,16:25:10.761,0x083,8,00 00 95 0B 93 0B 38 04,STD
85,16:25:10.792,0x084,8,87 87 00 01 00 05 2B 00,STD
86,16:25:10.823,0x033,8,00 00 64 64 00 00 00 00,STD
87,16:25:10.839,0x085,8,00 00 03 00 00 00 01 00,STD
88,16:25:10.870,0x086,8,02 5C 02 1E 00 01 01 01,STD
89,16:25:10.886,0x087,8,00 04 01 64 01 01 09 03,STD
90,16:25:10.918,0x088,8,01 1E 28 42 58 00 00 00,STD
91,16:25:10.933,0x089,8,01 04 04 04 04 00 00 00,STD
92,16:25:10.964,0x08A,8,01 00 00 00 00 00 00 00,STD
93,16:25:10.980,0x032,8,00 00 00 00 00 00 00 00,STD
94,16:25:11.011,0x08C,8,00 00 00 00 00 00 00 00,STD
95,16:25:11.042,0x08D,8,01 00 02 00 00 00 00 04,STD
96,16:25:11.058,0x08E,8,00 02 00 00 14 14 00 00,STD
97,16:25:11.089,0x08F,8,0D 00 03 01 00 00 00 00,STD
98,16:25:11.105,0x091,8,01 03 00 00 00 00 02 00,STD
99,16:25:11.136,0x092,8,00 01 01 01 03 02 02 03,STD
100,16:25:11.372,0x033,8,00 00 64 64 00 00 00 00,STD
101,16:25:11.388,0x093,8,01 01 39 0D 00 06 03 01,STD
102,16:25:11.465,0x036,8,00 00 00 00 00 00 00 00,STD
103,16:25:11.544,0x032,8,00 00 00 00 00 00 00 00,STD
104,16:25:11.559,0x027,8,F1 00 00 00 00 00 00 00,STD
105,16:25:11.638,0x02B,8,F1 00 00 00 00 00 00 00,STD
106,16:25:11.653,0x0CA,8,86 01 00 00 00 00 00 00,STD
107,16:25:11.653,0x0B3,8,05 21 05 00 00 00 00 00,STD
108,16:25:11.669,0x0CA,8,86 01 00 00 00 00 00 00,STD
109,16:25:11.669,0x0B3,8,0F 37 05 00 00 00 00 00,STD
110,16:25:11.732,0x0CA,8,86 01 00 00 00 00 00 00,STD
111,16:25:11.747,0x0CA,8,86 01 00 00 00 00 00 00,STD
112,16:25:11.903,0x033,8,00 00 64 64 00 00 00 00,STD
113,16:25:11.935,0x034,8,04 00 00 00 00 00 00 00,STD
114,16:25:11.950,0x035,8,01 00 38 00 00 00 1F 00,STD
115,16:25:11.982,0x05A,8,00 00 00 00 00 00 00 00,STD
116,16:25:11.997,0x05B,8,7F 00 00 00 04 00 00 00,STD
117,16:25:12.028,0x083,8,00 00 95 0B 93 0B 38 04,STD
118,16:25:12.044,0x084,8,86 86 01 01 00 06 2B 00,STD
119,16:25:12.076,0x032,8,00 00 00 00 00 00 00 00,STD
120,16:25:12.108,0x085,8,00 00 03 00 00 00 01 00,STD
121,16:25:12.123,0x086,8,02 5C 02 1E 00 01 01 01,STD
122,16:25:12.154,0x087,8,00 04 01 64 01 01 09 03,STD
123,16:25:12.170,0x088,8,02 1E 28 42 58 00 00 00,STD
124,16:25:12.202,0x089,8,02 04 04 04 04 00 00 00,STD
125,16:25:12.218,0x08A,8,02 00 00 00 00 00 00 00,STD
126,16:25:12.249,0x033,8,00 00 64 64 00 00 00 00,STD
127,16:25:12.280,0x08C,8,00 00 00 00 00 00 00 00,STD
128,16:25:12.296,0x08D,8,01 00 02 00 00 00 00 04,STD
129,16:25:12.327,0x08E,8,00 02 00 00 14 14 00 00,STD
130,16:25:12.343,0x08F,8,0D 00 03 01 00 00 00 00,STD
131,16:25:12.375,0x091,8,01 03 00 00 00 00 02 00,STD
132,16:25:12.375,0x0CA,8,86 01 00 00 00 00 00 00,STD
133,16:25:12.375,0x0CA,8,86 01 00 00 00 00 00 00,STD
134,16:25:12.390,0x092,8,00 01 01 01 03 02 02 03,STD
135,16:25:12.422,0x032,8,00 00 00 00 00 00 00 00,STD
136,16:25:12.453,0x093,8,01 01 39 0D 00 06 03 01,STD
137,16:25:12.516,0x036,8,00 00 00 00 00 00 00 00,STD
138,16:25:12.797,0x033,8,00 00 64 64 00 00 00 00,STD
139,16:25:12.829,0x027,8,F0 00 00 00 00 00 00 00,STD
140,16:25:12.892,0x02B,8,F2 00 00 00 00 00 00 00,STD
141,16:25:12.970,0x032,8,00 00 00 00 00 00 00 00,STD
142,16:25:13.001,0x034,8,04 00 00 00 00 00 00 00,STD
143,16:25:13.017,0x035,8,01 00 38 00 00 00 1F 00,STD
